# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3293427	3294101	-	KAK8443217.1			hypothetical protein			B9J08_01579	675	224	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3294805	3296109	-							B9J08_01580	1305		old_locus_tag=B9J08_003722
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3294805	3296109	-			KAK8443218.1	homocitrate synthase, mitochondrial			B9J08_01580	1305		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3294805	3296109	-	KAK8443218.1			homocitrate synthase, mitochondrial			B9J08_01580	1305	434	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3297157	3298236	-							B9J08_01581	1080		old_locus_tag=B9J08_003723
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3297157	3298236	-			KAK8443219.1	hypothetical protein			B9J08_01581	1080		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3297157	3298236	-	KAK8443219.1			hypothetical protein			B9J08_01581	1080	359	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3300350	3301891	+							B9J08_01582	1542		old_locus_tag=B9J08_003724
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3300350	3301891	+			KAK8443220.1	hypothetical protein			B9J08_01582	1542		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3300350	3301891	+	KAK8443220.1			hypothetical protein			B9J08_01582	1542	513	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3302032	3303246	-							B9J08_01583	1215		old_locus_tag=B9J08_003725
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3302032	3303246	-			KAK8443221.1	hypothetical protein			B9J08_01583	1215		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3302032	3303246	-	KAK8443221.1			hypothetical protein			B9J08_01583	1215	404	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3303742	3306495	-							B9J08_01584	2754		old_locus_tag=B9J08_003726
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3303742	3306495	-			KAK8443222.1	hypothetical protein			B9J08_01584	2754		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3303742	3306495	-	KAK8443222.1			hypothetical protein			B9J08_01584	2754	917	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3307551	3309728	+							B9J08_01585	2178		old_locus_tag=B9J08_003727
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3307551	3309728	+			KAK8443223.1	hypothetical protein			B9J08_01585	2178		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3307551	3309728	+	KAK8443223.1			hypothetical protein			B9J08_01585	2178	725	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3310063	3310611	+							B9J08_01586	549		old_locus_tag=B9J08_003728
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3310063	3310611	+			KAK8443224.1	hypothetical protein			B9J08_01586	549		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3310063	3310611	+	KAK8443224.1			hypothetical protein			B9J08_01586	549	182	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3312078	3313088	+							B9J08_01587	1011		old_locus_tag=B9J08_003729
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3312078	3313088	+			KAK8443225.1	hypothetical protein			B9J08_01587	1011		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3312078	3313088	+	KAK8443225.1			hypothetical protein			B9J08_01587	1011	336	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3313549	3314751	-							B9J08_01588	1203		old_locus_tag=B9J08_003730
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3313549	3314751	-			KAK8443226.1	acetyl-CoA acetyltransferase IA			B9J08_01588	1203		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3313549	3314751	-	KAK8443226.1			acetyl-CoA acetyltransferase IA			B9J08_01588	1203	400	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3315951	3316628	+							B9J08_01589	678		old_locus_tag=B9J08_003731
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3315951	3316628	+			KAK8443227.1	hypothetical protein			B9J08_01589	678		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3315951	3316628	+	KAK8443227.1			hypothetical protein			B9J08_01589	678	225	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3316727	3317953	-							B9J08_01590	1227		old_locus_tag=B9J08_003732
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3316727	3317953	-			KAK8443228.1	hypothetical protein			B9J08_01590	1227		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3316727	3317953	-	KAK8443228.1			hypothetical protein			B9J08_01590	1227	408	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3319307	3320563	-							B9J08_01591	1257		old_locus_tag=B9J08_003733
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3319307	3320563	-			KAK8443229.1	hypothetical protein			B9J08_01591	1257		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3319307	3320563	-	KAK8443229.1			hypothetical protein			B9J08_01591	1257	418	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3323890	3325560	+							B9J08_01592	1671		old_locus_tag=B9J08_003734
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3323890	3325560	+			KAK8443230.1	hypothetical protein			B9J08_01592	1671		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3323890	3325560	+	KAK8443230.1			hypothetical protein			B9J08_01592	1671	556	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3325688	3326677	-							B9J08_01593	990		old_locus_tag=B9J08_003735
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3325688	3326677	-			KAK8443231.1	hypothetical protein			B9J08_01593	990		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3325688	3326677	-	KAK8443231.1			hypothetical protein			B9J08_01593	990	329	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3327002	3328468	-							B9J08_01594	1467		old_locus_tag=B9J08_003736
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3327002	3328468	-			KAK8443232.1	hypothetical protein			B9J08_01594	1467		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3327002	3328468	-	KAK8443232.1			hypothetical protein			B9J08_01594	1467	488	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3328722	3329813	-							B9J08_01595	1092		old_locus_tag=B9J08_003737
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3328722	3329813	-			KAK8443233.1	hypothetical protein			B9J08_01595	1092		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3328722	3329813	-	KAK8443233.1			hypothetical protein			B9J08_01595	1092	363	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3331602	3332678	-							B9J08_01596	1077		old_locus_tag=B9J08_003738
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3331602	3332678	-			KAK8443234.1	porphobilinogen deaminase			B9J08_01596	1077		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3331602	3332678	-	KAK8443234.1			porphobilinogen deaminase			B9J08_01596	1077	358	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3333854	3336313	-							B9J08_01597	2460		old_locus_tag=B9J08_003739
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3333854	3336313	-			KAK8443235.1	hypothetical protein			B9J08_01597	2460		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3333854	3336313	-	KAK8443235.1			hypothetical protein			B9J08_01597	2460	819	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3336500	3339820	-							B9J08_01598	3321		old_locus_tag=B9J08_003740
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3336500	3339820	-			KAK8443236.1	hypothetical protein			B9J08_01598	3321		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3336500	3339820	-	KAK8443236.1			hypothetical protein			B9J08_01598	3321	1106	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3339986	3340531	+							B9J08_01599	546		old_locus_tag=B9J08_003741
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3339986	3340531	+			KAK8443237.1	hypothetical protein			B9J08_01599	546		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3339986	3340531	+	KAK8443237.1			hypothetical protein			B9J08_01599	546	181	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3340562	3342481	-							B9J08_01600	1920		old_locus_tag=B9J08_003742
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3340562	3342481	-			KAK8443238.1	methylenetetrahydrofolate reductase			B9J08_01600	1920		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3340562	3342481	-	KAK8443238.1			methylenetetrahydrofolate reductase			B9J08_01600	1920	639	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3343202	3343984	-							B9J08_01601	783		old_locus_tag=B9J08_003743
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3343202	3343984	-			KAK8443239.1	hypothetical protein			B9J08_01601	783		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3343202	3343984	-	KAK8443239.1			hypothetical protein			B9J08_01601	783	260	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3344937	3345380	+							B9J08_01602	444		old_locus_tag=B9J08_003744
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3344937	3345380	+			KAK8443240.1	hypothetical protein			B9J08_01602	444		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3344937	3345380	+	KAK8443240.1			hypothetical protein			B9J08_01602	444	147	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3345392	3346636	-							B9J08_01603	1245		old_locus_tag=B9J08_003745
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3345392	3346636	-			KAK8443241.1	hypothetical protein			B9J08_01603	1245		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3345392	3346636	-	KAK8443241.1			hypothetical protein			B9J08_01603	1245	414	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3347297	3348727	+							B9J08_01604	1431		old_locus_tag=B9J08_003746
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3347297	3348727	+			KAK8443242.1	hypothetical protein			B9J08_01604	1431		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3347297	3348727	+	KAK8443242.1			hypothetical protein			B9J08_01604	1431	476	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3349303	3349677	+							B9J08_01605	375		old_locus_tag=B9J08_003747
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3349303	3349677	+			KAK8443243.1	hypothetical protein			B9J08_01605	375		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3349303	3349677	+	KAK8443243.1			hypothetical protein			B9J08_01605	375	124	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3349954	3351600	-							B9J08_01606	1647		old_locus_tag=B9J08_003748
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3349954	3351600	-			KAK8443244.1	hypothetical protein			B9J08_01606	1647		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3349954	3351600	-	KAK8443244.1			hypothetical protein			B9J08_01606	1647	548	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3351773	3352444	+							B9J08_01607	672		old_locus_tag=B9J08_003749
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3351773	3352444	+			KAK8443245.1	hypothetical protein			B9J08_01607	672		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3351773	3352444	+	KAK8443245.1			hypothetical protein			B9J08_01607	672	223	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3353826	3354782	+							B9J08_01608	957		old_locus_tag=B9J08_003750
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3353826	3354782	+			KAK8443246.1	hypothetical protein			B9J08_01608	957		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3353826	3354782	+	KAK8443246.1			hypothetical protein			B9J08_01608	957	318	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3354870	3355538	-							B9J08_01609	669		old_locus_tag=B9J08_003751
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3354870	3355538	-			KAK8443247.1	hypothetical protein			B9J08_01609	669		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3354870	3355538	-	KAK8443247.1			hypothetical protein			B9J08_01609	669	222	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3356903	3359212	+							B9J08_01610	2310		old_locus_tag=B9J08_003752
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3356903	3359212	+			KAK8443248.1	hypothetical protein			B9J08_01610	2310		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3356903	3359212	+	KAK8443248.1			hypothetical protein			B9J08_01610	2310	769	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3359335	3360315	+							B9J08_01611	981		old_locus_tag=B9J08_003753
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3359335	3360315	+			KAK8443249.1	hypothetical protein			B9J08_01611	981		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3359335	3360315	+	KAK8443249.1			hypothetical protein			B9J08_01611	981	326	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3360372	3361223	-							B9J08_01612	852		old_locus_tag=B9J08_003754
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3360372	3361223	-			KAK8443250.1	hypothetical protein			B9J08_01612	852		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3360372	3361223	-	KAK8443250.1			hypothetical protein			B9J08_01612	852	283	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3361428	3362065	-							B9J08_01613	638		old_locus_tag=B9J08_003755
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3361428	3362065	-			KAK8443251.1	40S ribosomal protein S15			B9J08_01613	426		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3361428	3362065	-	KAK8443251.1			40S ribosomal protein S15			B9J08_01613	426	141	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3362766	3363101	+							B9J08_01614	336		old_locus_tag=B9J08_003756
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3362766	3363101	+			KAK8443252.1	60S acidic ribosomal protein P2-B			B9J08_01614	336		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3362766	3363101	+	KAK8443252.1			60S acidic ribosomal protein P2-B			B9J08_01614	336	111	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3363190	3364038	-							B9J08_01615	849		old_locus_tag=B9J08_003757
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3363190	3364038	-			KAK8443253.1	hypothetical protein			B9J08_01615	849		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3363190	3364038	-	KAK8443253.1			hypothetical protein			B9J08_01615	849	282	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3364344	3366962	+							B9J08_01616	2619		old_locus_tag=B9J08_003758
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3364344	3366962	+			KAK8443254.1	hypothetical protein			B9J08_01616	2619		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3364344	3366962	+	KAK8443254.1			hypothetical protein			B9J08_01616	2619	872	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3366967	3367806	-							B9J08_01617	840		old_locus_tag=B9J08_003759
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3366967	3367806	-			KAK8443255.1	hypothetical protein			B9J08_01617	840		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3366967	3367806	-	KAK8443255.1			hypothetical protein			B9J08_01617	840	279	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3368030	3370051	-							B9J08_01618	2022		old_locus_tag=B9J08_003760
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3368030	3370051	-			KAK8443256.1	hypothetical protein			B9J08_01618	2022		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3368030	3370051	-	KAK8443256.1			hypothetical protein			B9J08_01618	2022	673	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3370286	3372208	-							B9J08_01619	1923		old_locus_tag=B9J08_003761
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3370286	3372208	-			KAK8443257.1	hypothetical protein			B9J08_01619	1923		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3370286	3372208	-	KAK8443257.1			hypothetical protein			B9J08_01619	1923	640	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3372281	3373561	+							B9J08_01620	1281		old_locus_tag=B9J08_003762
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3372281	3373561	+			KAK8443258.1	hypothetical protein			B9J08_01620	1281		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3372281	3373561	+	KAK8443258.1			hypothetical protein			B9J08_01620	1281	426	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3373573	3374619	-							B9J08_01621	1047		old_locus_tag=B9J08_003763
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3373573	3374619	-			KAK8443259.1	hypothetical protein			B9J08_01621	1047		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3373573	3374619	-	KAK8443259.1			hypothetical protein			B9J08_01621	1047	348	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3374926	3375657	+							B9J08_01622	732		old_locus_tag=B9J08_003764
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3374926	3375657	+			KAK8443260.1	dephospho-CoA kinase			B9J08_01622	732		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3374926	3375657	+	KAK8443260.1			dephospho-CoA kinase			B9J08_01622	732	243	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3375682	3378771	-							B9J08_01623	3090		old_locus_tag=B9J08_003765
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3375682	3378771	-			KAK8443261.1	hypothetical protein			B9J08_01623	3090		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3375682	3378771	-	KAK8443261.1			hypothetical protein			B9J08_01623	3090	1029	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3379120	3381126	-							B9J08_01624	2007		old_locus_tag=B9J08_003766
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3379120	3381126	-			KAK8443262.1	hypothetical protein			B9J08_01624	2007		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3379120	3381126	-	KAK8443262.1			hypothetical protein			B9J08_01624	2007	668	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3383232	3383750	+							B9J08_01625	519		old_locus_tag=B9J08_003767
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3383232	3383750	+			KAK8443263.1	cytidine deaminase			B9J08_01625	420		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3383232	3383750	+	KAK8443263.1			cytidine deaminase			B9J08_01625	420	139	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3384409	3385515	+							B9J08_01626	1107		old_locus_tag=B9J08_003768
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3384409	3385515	+			KAK8443264.1	methionine aminopeptidase, type I			B9J08_01626	1107		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3384409	3385515	+	KAK8443264.1			methionine aminopeptidase, type I			B9J08_01626	1107	368	
gene	tRNA	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3385645	3385717	-							B9J08_01627	73		old_locus_tag=B9J08_003769
tRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3385645	3385717	-				tRNA-Ala			B9J08_01627	73		
gene	tRNA	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3387085	3387158	+							B9J08_01628	74		old_locus_tag=B9J08_003770
tRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3387085	3387158	+				tRNA-Ile			B9J08_01628	74		
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3388734	3390452	+							B9J08_01629	1719		old_locus_tag=B9J08_003771
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3388734	3390452	+			KAK8443265.1	T-complex protein 1, zeta subunit			B9J08_01629	1719		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3388734	3390452	+	KAK8443265.1			T-complex protein 1, zeta subunit			B9J08_01629	1719	572	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3395237	3395743	+							B9J08_01630	507		old_locus_tag=B9J08_003772
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3395237	3395743	+			KAK8443266.1	hypothetical protein			B9J08_01630	507		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3395237	3395743	+	KAK8443266.1			hypothetical protein			B9J08_01630	507	168	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3399182	3401221	+							B9J08_01631	2040		old_locus_tag=B9J08_003773
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3399182	3401221	+			KAK8443267.1	hypothetical protein			B9J08_01631	1917		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3399182	3401221	+	KAK8443267.1			hypothetical protein			B9J08_01631	1917	638	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3401632	3403005	-							B9J08_01632	1374		old_locus_tag=B9J08_003774
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3401632	3403005	-			KAK8443268.1	RuvB-like helicase 1			B9J08_01632	1374		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3401632	3403005	-	KAK8443268.1			RuvB-like helicase 1			B9J08_01632	1374	457	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3408419	3409240	-							B9J08_01633	822		old_locus_tag=B9J08_003775
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3408419	3409240	-			KAK8443269.1	hypothetical protein			B9J08_01633	822		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3408419	3409240	-	KAK8443269.1			hypothetical protein			B9J08_01633	822	273	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3410281	3412215	-							B9J08_01634	1935		old_locus_tag=B9J08_003776
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3410281	3412215	-			KAK8443270.1	hypothetical protein			B9J08_01634	1935		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3410281	3412215	-	KAK8443270.1			hypothetical protein			B9J08_01634	1935	644	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3412766	3413411	-							B9J08_01635	646		old_locus_tag=B9J08_003777
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3412766	3413411	-			KAK8443271.1	hypothetical protein			B9J08_01635	594		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3412766	3413411	-	KAK8443271.1			hypothetical protein			B9J08_01635	594	197	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3414729	3416006	+							B9J08_01636	1278		old_locus_tag=B9J08_003778
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3414729	3416006	+			KAK8443272.1	26S protease regulatory subunit 6A			B9J08_01636	1278		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3414729	3416006	+	KAK8443272.1			26S protease regulatory subunit 6A			B9J08_01636	1278	425	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3416412	3416612	-							B9J08_01637	201		old_locus_tag=B9J08_003779
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3416412	3416612	-			KAK8443273.1	hypothetical protein			B9J08_01637	201		
CDS	with_protein	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3416412	3416612	-	KAK8443273.1			hypothetical protein			B9J08_01637	201	66	
gene	protein_coding	GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3417436	3421803	+							B9J08_01638	4368		old_locus_tag=B9J08_003780
mRNA		GCA_002759435.3	Primary Assembly	chromosome	1	CM076438.1	3417436	3421803	+			KAK8443274.1	DNA-directed RNA polymerase III subunit RPC1			B9J08_01638	4368		
