Gene_ID,LFC,FDR,Gene_Name,Description
B9J08_000029,1.103844648,6.69e-05,,"Ortholog(s) have cyclin-dependent protein serine/threonine kinase regulator activity and role in negative regulation of macroautophagy, regulation of protein stability"
B9J08_004113,1.098371596,9.7e-05,,Has domain(s) with predicted transmembrane transporter activity and role in transmembrane transport
B9J08_001116,1.097689995,0.004128981,,Has domain(s) with predicted role in lipid metabolic process
B9J08_004939,1.090402173,0.002790871,,Ortholog(s) have Atg8-family ligase activity
B9J08_000071,1.088904288,0.000134038,,"Ortholog(s) have lipid binding activity and role in eisosome assembly, endocytosis, endoplasmic reticulum-plasma membrane tethering, protein localization, protein localization to eisosome filament"
B9J08_001480,1.088880736,1.56e-08,,Protein of unknown function
B9J08_005386,1.081505886,0.002692037,,"Ortholog of C. albicans SC5314 : C6_01620W_A, C. dubliniensis CD36 : Cd36_61710, C. parapsilosis CDC317 : CPAR2_602540 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_136164"
B9J08_001008,1.075983637,0.007991935,,"Ortholog(s) have protein phosphatase 1 binding, protein phosphatase regulator activity and role in chromosome segregation"
B9J08_001224,1.070122346,0.000456518,,"Ortholog(s) have sulfite reductase (NADPH) activity, role in sulfate assimilation, sulfur amino acid biosynthetic process and sulfite reductase complex (NADPH) localization"
B9J08_005302,1.068930939,0.009769494,,Ortholog(s) have acireductone dioxygenase (Ni2+-requiring) activity and role in L-methionine salvage from methylthioadenosine
B9J08_004988,1.066356975,1.77e-05,,Has domain(s) with predicted DNA-binding transcription factor activity and role in regulation of DNA-templated transcription
B9J08_003744,1.062372202,0.000143968,,"Ortholog of Debaryomyces hansenii CBS767 : DEHA2E16720g, Pichia stipitis Pignal : PICST_29139 and Candida lusitaniae ATCC 42720 : CLUG_03027"
B9J08_002972,1.061141096,0.007376237,,"Ortholog(s) have peptide-methionine (R)-S-oxide reductase activity, role in cellular response to oxidative stress and mitochondrion localization"
B9J08_004098,1.05257018,0.006839677,,Protein of unknown function
B9J08_005514,1.04998236,0.000336098,,"Ortholog(s) have SNAP receptor activity and role in autophagosome maturation, piecemeal microautophagy of the nucleus, vacuole fusion, non-autophagic, vesicle docking, vesicle fusion, vesicle fusion with vacuole"
B9J08_003948,1.041778477,0.0053357,,"Ortholog(s) have AMP-activated protein kinase activity, enzyme-substrate adaptor activity and role in regulation of protein-containing complex assembly, signal transduction"
B9J08_004750,1.04142699,0.002293717,,"Ortholog of C. albicans SC5314 : C3_07030C_A, C. dubliniensis CD36 : Cd36_86960, C. parapsilosis CDC317 : CPAR2_808800 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_113621"
B9J08_000824,1.036064202,0.002273593,,"Ortholog of C. albicans SC5314 : C1_10400C_A/FGR41, C. dubliniensis CD36 : Cd36_09790, C. parapsilosis CDC317 : CPAR2_207330 and Candida tenuis NRRL Y-1498 : cten_CGOB_00030"
B9J08_004584,1.034695349,0.008018811,,Has domain(s) with predicted transmembrane transporter activity and role in transmembrane transport
B9J08_004847,1.030892129,0.002520732,,"Ortholog(s) have calmodulin binding activity and role in microautophagy, polyphosphate metabolic process, protein localization, vacuolar transport, vacuole fusion, non-autophagic"
B9J08_001615,1.01645477,0.005925312,,"Ortholog(s) have protein-macromolecule adaptor activity, role in ER-dependent peroxisome organization, peroxisome inheritance, protein import into peroxisome membrane and endoplasmic reticulum, peroxisomal membrane, peroxisome localization"
B9J08_002259,1.013420443,2.93e-05,,"Ortholog(s) have role in fructose transmembrane transport, glucose mediated signaling pathway, glucose transmembrane transport, mannose transmembrane transport, negative regulation of meiotic nuclear division"
B9J08_001364,1.013349827,0.001288448,,"Has domain(s) with predicted heme binding, iron ion binding, monooxygenase activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity"
B9J08_004883,1.008898745,0.00053678,,"Has domain(s) with predicted DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding activity and role in regulation of DNA-templated transcription"
B9J08_004793,1.006019951,0.001483873,,"Ortholog(s) have fungal-type vacuole lumen, fungal-type vacuole membrane localization"
B9J08_000593,1.001919155,3.54e-06,,Has domain(s) with predicted phosphatidylinositol binding activity
B9J08_003070,1.001819233,0.000908539,,"Ortholog of C. albicans SC5314 : C6_02110W_A, C. dubliniensis CD36 : Cd36_62270, C. parapsilosis CDC317 : CPAR2_602240 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_114419"
B9J08_005078,-1.004787823,1.18e-13,,"Ortholog(s) have adenine deaminase activity and role in adenine catabolic process, hypoxanthine salvage, purine-containing compound salvage"
B9J08_000169,-1.0297991,6.19e-05,,Ortholog(s) have sulfiredoxin activity and role in cellular response to oxidative stress
B9J08_003190,-1.030146379,2.99e-05,,"Ortholog(s) have thiamine pyrophosphate transmembrane transporter activity, role in mitochondrial thiamine pyrophosphate transmembrane transport and mitochondrial inner membrane localization"
B9J08_002262,-1.033051491,0.000120135,,"Ortholog(s) have glucosidase activity and role in (1->6)-beta-D-glucan biosynthetic process, fungal-type cell wall organization"
B9J08_000645,-1.036971715,4.23e-07,,"Ortholog(s) have kinase regulator activity, peroxidase activity, peroxiredoxin activity, ribosome binding, thioredoxin peroxidase activity, thioredoxin-dependent peroxiredoxin activity, unfolded protein binding activity"
B9J08_004475,-1.053056284,0.000144145,,Has domain(s) with predicted transmembrane transporter activity and role in transmembrane transport
B9J08_002110,-1.063100053,0.007018254,,"Ortholog(s) have siderophore-iron transmembrane transporter activity, role in siderophore transport, siderophore-dependent iron import into cell and cytoplasmic vesicle, endosome, plasma membrane localization"
B9J08_002481,-1.106242813,0.002678771,,"Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and membrane localization"
B9J08_000634,-1.106976514,0.000387839,,"Ortholog(s) have role in bipolar cellular bud site selection, intracellular monoatomic cation homeostasis and nucleus localization"
B9J08_000777,-1.132879158,7.04e-05,,Ortholog(s) have ubiquitin protein ligase binding activity
B9J08_000844,-1.133775112,5.86e-05,,Has domain(s) with predicted oxidoreductase activity and mitochondrion localization
B9J08_005322,-1.134620932,0.004561642,,Has domain(s) with predicted transmembrane transporter activity and role in transmembrane transport
B9J08_003016,-1.138794075,5.09e-05,,Has domain(s) with predicted mannosyltransferase activity
B9J08_002556,-1.140094892,0.001139724,,Ortholog(s) have role in aerobic respiration and mitochondrial intermembrane space localization
B9J08_001686,-1.153937693,0.001539244,,"Has domain(s) with predicted RNA binding, structural constituent of ribosome activity, role in translation and ribosome localization"
B9J08_003585,-1.165568286,0.007379141,,"Ortholog(s) have DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity and RNA polymerase II-specific, more"
B9J08_003914,-1.186082517,0.005542241,,"Ortholog(s) have role in actin cytoskeleton organization, negative regulation of phospholipid translocation, vacuole organization and plasma membrane localization"
B9J08_001428,-1.23190944,9.09e-05,,"Ortholog(s) have dicarboxylic acid transmembrane transporter activity, role in dicarboxylic acid transport and mitochondrial envelope localization"
B9J08_000036,-1.247620596,0.000879113,,Protein of unknown function
B9J08_001952,-1.267775146,0.000130635,,"Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and membrane localization"
B9J08_001894,-1.325015274,0.001275698,,"Ortholog of C. albicans SC5314 : C3_01640C_A, C. dubliniensis CD36 : Cd36_81550, C. parapsilosis CDC317 : CPAR2_503570 and Candida tenuis NRRL Y-1498 : cten_CGOB_00261"
B9J08_003903,-1.331949267,6.48e-06,,Ortholog(s) have fungal-type cell wall localization
B9J08_004360,-1.348717312,1.04e-14,,Ortholog(s) have peroxisome localization
B9J08_001670,-1.369156845,3.81e-08,,Ortholog(s) have methylthioribulose 1-phosphate dehydratase activity and role in L-methionine salvage from methylthioadenosine
B9J08_003408,-1.374410495,0.008318795,,Ortholog of Candida lusitaniae ATCC 42720 : CLUG_01446
B9J08_003684,-1.389846509,0.006176939,,"Has domain(s) with predicted NAD binding, glycerol-3-phosphate dehydrogenase [NAD(P)+] activity, oxidoreductase activity, oxidoreductase activity and acting on the CH-OH group of donors, more"
B9J08_002218,-1.446723892,0.006385017,,Protein of unknown function
B9J08_005563,-1.468112392,5.06e-05,,Protein of unknown function
B9J08_004468,-1.512088409,0.002966951,,Has domain(s) with predicted oxidoreductase activity
B9J08_002616,-1.532016802,0.003045368,,"Ortholog of S. cerevisiae : YGL138C, C. albicans SC5314 : C3_00990C_A, C. glabrata CBS138 : CAGL0H08910g, C. dubliniensis CD36 : Cd36_80910 and C. parapsilosis CDC317 : CPAR2_102230"
B9J08_000701,-1.54217742,0.001064084,,Has domain(s) with predicted oxidoreductase activity
B9J08_000918,-1.544175523,0.000158492,,"Ortholog of C. albicans SC5314 : C4_04530C_A/PHR1, C. dubliniensis CD36 : Cd36_44230/PHR1, C. parapsilosis CDC317 : CPAR2_302140/PHR1 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_114565"
B9J08_002108,-1.553393822,0.0039604,,"Ortholog(s) have high-affinity ferrous iron transmembrane transporter activity, iron ion transmembrane transporter activity and role in arsenate ion transmembrane transport, iron ion transmembrane transport, reductive iron assimilation"
B9J08_001792,-1.589386486,0.000101919,,"Ortholog of C. albicans SC5314 : C4_01230C_A, C. dubliniensis CD36 : Cd36_41220, C. parapsilosis CDC317 : CPAR2_403860 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_116117"
B9J08_001292,-1.607702924,2.46e-05,SOD4,"Copper-containing superoxide dismutase, induced during iron starvation"
B9J08_005006,-1.654381752,5.76e-07,,Protein of unknown function
B9J08_001948,-1.659633114,2.88e-06,,Protein of unknown function
B9J08_004797,-1.68511348,0.007018254,,"Ortholog(s) have fungal-type vacuole, plasma membrane localization"
B9J08_002217,-1.789220392,5.63e-06,,"Has domain(s) with predicted DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding activity and role in DNA-templated transcription, regulation of DNA-templated transcription"
B9J08_004886,-1.836682685,0.007810161,,Has domain(s) with predicted oxidoreductase activity
B9J08_001450,-1.868066331,0.000387839,,"Ortholog(s) have ferric-chelate reductase activity, role in copper ion import, iron ion transport, nuclear-transcribed mRNA catabolic process, nonsense-mediated decay and plasma membrane localization"
B9J08_002295,-1.903880159,5.27e-05,,Protein of unknown function
B9J08_004378,-1.919507359,5.14e-05,,"Ortholog(s) have glycerol-1-phosphatase activity, role in glycerol biosynthetic process and cytoplasm localization"
B9J08_001519,-1.993662445,0.00574311,,Has domain(s) with predicted transmembrane transporter activity and role in transmembrane transport
B9J08_000656,-2.051568767,8.52e-07,MGD1,Putative methylglyoxal reductase; expression appears to be induced by the transcription factor Mrr1p in response to methylglyoxal and benomyl
B9J08_002974,-2.093548366,0.000439865,,"Ortholog(s) have biotin transmembrane transporter activity, dethiobiotin transmembrane transporter activity, solute:proton symporter activity and role in biotin import across plasma membrane, dethiobiotin import across plasma membrane"
B9J08_002582,-2.156327898,9.97e-05,,"Putative cell-surface adhesin, similar to C. albicans Als3p"
B9J08_004884,-2.701784466,0.001076532,,"Has domain(s) with predicted hydrolase activity, hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds activity"
B9J08_003908,-2.75666127,1.51e-06,,Has domain(s) with predicted transmembrane transporter activity and role in transmembrane transport
B9J08_001548,-2.888970624,0.000353879,,Protein of unknown function
B9J08_001549,-3.152345182,5.87e-11,,Putative glycosylphosphatidylinositol-anchored protein; unique to C. auris and useful for strain typing; contains an N-terminal signal peptide for secretion and a C-terminal glycosylphosphatidylinositol
B9J08_001546,-3.233771041,3.86e-10,SAP3,"Primary aspartic-type endopeptidase; null mutant shows reduced secretion of aspartyl protease, reduced biofilm and hyphae formation, and reduced virulence in a mouse systemic infection model"
B9J08_002136,-8.756698989,1.93e-71,,"Has domain(s) with predicted DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding activity and role in regulation of DNA-templated transcription"
